player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Mikel Villanueva,DF,27.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07,Matches
Roberto Rosales,DF,32.0,1,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jefferson Savarino,FW,24.0,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.13,0.0,0.13,0.13,0.13,Matches
Yangel Herrera,MF,23.0,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rómulo Otero,FW,28.0,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.15,0.29,0.44,0.15,0.44,Matches
Jan Carlos Hurtado,FW,20.0,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Richard Celis,MF,24.0,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yeferson Soteldo,"FW,MF",23.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.21,0.0,0.21,0.21,0.21,Matches
Jhonder Cádiz,FW,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jhon Murillo,"FW,MF",25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis Romero,GK,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,26.0,4,44,360.0,4.0,2.0,2.0,2.0,0.0,0.0,8.0,0.0,0.5,0.5,1.0,0.5,1.0,2.2,2.2,1.4,3.6,0.55,0.34,0.9,0.55,0.9,
Opponent Total,,27.3,4,44,360.0,4.0,6.0,2.0,5.0,1.0,1.0,7.0,1.0,1.5,0.5,2.0,1.25,1.75,11.1,10.4,6.3,16.7,2.78,1.57,4.36,2.59,4.17,
