player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Carlos González Espínola,FW,27.0,5,2,214.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.9,0.32,0.06,0.39,0.32,0.39,Matches
Braian Samudio,"MF,FW",25.0,4,2,190.0,2.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,0.3,0.3,0.0,0.3,0.12,0.01,0.14,0.12,0.14,Matches
Robert Piris Da Motta,MF,26.0,3,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ángel Cardozo,MF,26.0,3,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Kaku,"MF,FW",26.0,2,2,151.0,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,0.8,0.8,0.9,1.6,0.45,0.53,0.98,0.45,0.98,Matches
Robert Rojas,DF,24.0,2,1,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Richard Sánchez,"MF,FW",24.0,4,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.07,0.08,0.15,0.07,0.15,Matches
Omar Alderete,DF,24.0,2,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrián Cubas,MF,24.0,3,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Gastón Giménez,MF,29.0,2,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Óscar Romero,"FW,MF",28.0,3,0,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Julio Enciso,MF,17.0,2,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.45,0.0,0.45,0.45,0.45,Matches
Antonio Bareiro,FW,31.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alfredo Aguilar,GK,32.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gerardo Amílcar Ortiz,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fabián Balbuena,DF,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jorge Morel,MF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Braian Ojeda,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,27.6,5,55,480.0,5.3,8.0,2.0,7.0,1.0,1.0,10.0,1.0,1.5,0.37,1.87,1.31,1.69,8.4,7.6,4.3,11.9,1.57,0.81,2.38,1.43,2.24,
Opponent Total,,28.3,5,55,480.0,5.3,5.0,3.0,3.0,2.0,2.0,12.0,2.0,0.94,0.56,1.5,0.56,1.13,5.1,3.7,2.5,6.2,0.96,0.48,1.44,0.69,1.16,
