player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
Ángel Mena,"MF,FW",33.0,5,2,290.0,3.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,0.4,0.4,0.5,0.9,0.13,0.15,0.28,0.13,0.28,Matches
Pedro Ortíz,GK,30.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Campana,FW,20.0,4,2,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.9,0.41,0.09,0.5,0.41,0.5,Matches
Diego Palacios,"MF,FW",21.0,2,2,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.25,0.25,0.0,0.25,Matches
Gonzalo Plata,"MF,FW",20.0,4,1,155.0,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,0.9,0.9,0.4,1.3,0.52,0.26,0.77,0.52,0.77,Matches
Michael Estrada,FW,24.0,3,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07,Matches
Damián Díaz,MF,34.0,2,1,74.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,0.0,1.22,0.3,0.3,0.5,0.7,0.32,0.59,0.91,0.32,0.91,Matches
Fidel Martínez,MF,30.0,3,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.12,0.12,0.0,0.12,Matches
Carlos Gruezo,MF,25.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Noboa,MF,35.0,2,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.33,0.0,0.33,0.33,0.33,Matches
Jordy Caicedo,"FW,MF",23.0,2,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mario Pineida,MF,28.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Xavier Arreaga,DF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dixon Arroyo,MF,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alexander Domínguez,GK,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis Fernando León,DF,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
José Hurtado,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Félix Torres Caicedo,DF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,25.5,5,55,450.0,5.0,4.0,3.0,4.0,0.0,0.0,9.0,1.0,0.8,0.6,1.4,0.8,1.4,6.5,6.5,4.3,10.9,1.31,0.87,2.18,1.31,2.18,
Opponent Total,,27.4,5,55,450.0,5.0,9.0,8.0,9.0,0.0,0.0,6.0,0.0,1.8,1.6,3.4,1.8,3.4,6.5,6.5,5.0,11.5,1.29,1.0,2.29,1.29,2.29,
